project_name,wb_region,country_/_economy,country_/_economy_lending_group,country_/_economy_fcs_status,country_/_economy_fcs_lending_group,practice_group,global_practice,agreement_type,lending_instrument_type,approval_fy,final_closing_fy,evaluation_type,outcome,quality_at_entry,quality_of_supervision,bank_performance,m&e_quality,evaluation_fy
MICRO-ENTERPRISES,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,1991.0,1998.0,ICRR,Satisfactory,Highly Satisfactory,Satisfactory,Satisfactory,,2000
Environment and Natural Resources Sector,East Asia and Pacific,Philippines,IBRD,,Other,Sustainable Development,Agriculture and Food,IBRD,DPF,1991.0,2000.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
RURAL FINANCE,East Asia and Pacific,Philippines,IBRD,,Other,Other,Other,IBRD,IPF,1991.0,,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
PG-PUBLIC SECTOR TRAINING,East Asia and Pacific,Papua New Guinea,Blend,,Other,"Equitable Growth, Finance and Institutions",Governance,IBRD,IPF,1991.0,2000.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
FINANCIAL INSTITUTIONS DEVELOPMENT PROJECT,Europe and Central Asia,Poland,IBRD,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,1991.0,1999.0,ICRR,Satisfactory,Highly Satisfactory,Satisfactory,Satisfactory,,2000
SECOND  COMMUNICATIONS,Eastern and Southern Africa,Rwanda,IDA,,Other,Infrastructure,Transport,IDA,IPF,1991.0,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
Rwa-Education Sect. Cr,Eastern and Southern Africa,Rwanda,IDA,,Other,Human Development,Education,IDA,IPF,1991.0,2000.0,ICRR,Unsatisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2000
POWER REHABILITATION,Western and Central Africa,Togo,IDA,,Other,Infrastructure,Energy & Extractives,IDA,IPF,1991.0,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
YOUTH TRG&EMPL PROJ,Latin America and Caribbean,Trinidad and Tobago,IBRD,,Other,Human Development,Education,IBRD,IPF,1991.0,1998.0,PPAR,Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,,2000
HOSPITAL RESTRUCTURING REFORM SUPPORT PROJECT,"Middle East, North Africa, Afghanistan, and Pakist",Tunisia,IBRD,,Other,Human Development,"Health, Nutrition & Population",IBRD,IPF,1991.0,2000.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
LIVESTOCK,Eastern and Southern Africa,Uganda,IDA,,Other,Sustainable Development,Agriculture and Food,IDA,IPF,1991.0,1999.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2000
VE SOCIAL DEVT,Latin America and Caribbean,"Venezuela, Republica Bolivariana de",IBRD,,Other,Human Development,"Health, Nutrition & Population",IBRD,IPF,1991.0,1999.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2000
FISHERIES IV,"Middle East, North Africa, Afghanistan, and Pakist","Yemen, Republic of",IDA,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,1991.0,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
SOCIAL RECOVERY PROJ,Eastern and Southern Africa,Zambia,IDA,,Other,Human Development,Social Protection & Jobs,IDA,IPF,1991.0,1999.0,PPAR,Satisfactory,,Satisfactory,Satisfactory,,2000
FAMILY HLTH.II,Eastern and Southern Africa,Zimbabwe,Blend,,Other,Human Development,"Health, Nutrition & Population",IBRD,IPF,1991.0,1999.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
RAILWAYS II,Eastern and Southern Africa,Zimbabwe,Blend,,Other,Infrastructure,Transport,IBRD,IPF,1991.0,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
Bui-Transport Sector,Eastern and Southern Africa,Burundi,IDA,,Other,Infrastructure,Transport,IDA,IPF,1990.0,1999.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Highly Unsatisfactory,Unsatisfactory,,2000
AGRIC.EXT.TRAINING,Western and Central Africa,Cameroon,Blend,,Other,Sustainable Development,Agriculture and Food,IBRD,IPF,1990.0,1999.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2000
RURAL RDS SCTR II,Latin America and Caribbean,Colombia,IBRD,,Other,Other,Other,IBRD,IPF,1990.0,,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
ENGINEERING & TECHNI,"Middle East, North Africa, Afghanistan, and Pakist","Egypt, Arab Republic of",IBRD,,Other,Human Development,Education,IBRD,IPF,1990.0,1999.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
SECOND ADDIS URBAN DEV.,Eastern and Southern Africa,Ethiopia,IDA,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1990.0,1999.0,ICRR,Unsatisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2000
MARKET TOWNS DEV,Eastern and Southern Africa,Ethiopia,IDA,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1990.0,1999.0,ICRR,Unsatisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,,2000
HOUSING PROJECT,East Asia and Pacific,Fiji,Blend,,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,1990.0,1999.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
VRA/SIXTH POWER,Western and Central Africa,Ghana,IDA,,Other,Infrastructure,Energy & Extractives,IDA,IPF,1990.0,1998.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2000
POWER SECTOR(ECG FIF,Western and Central Africa,Ghana,IDA,,Other,Other,Other,IDA,IPF,1990.0,,PPAR,Moderately Unsatisfactory,Satisfactory,Unsatisfactory,Unsatisfactory,,2000
EDUC SECTOR CREDIT,Western and Central Africa,"Gambia, The",IDA,,Other,Human Development,Education,IDA,IPF,1990.0,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
WOMEN IN DEVELOPMENT,Western and Central Africa,"Gambia, The",IDA,,Other,Other,Other,IDA,IPF,1990.0,,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
GAS UTILIZATION,East Asia and Pacific,Indonesia,IBRD,,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1990.0,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
WTRSH HILLS,South Asia,India,IBRD,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IBRD,IPF,1990.0,1999.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
TECH EDUC I,South Asia,India,IBRD,,Other,Human Development,Education,IBRD,IPF,1990.0,1999.0,PPAR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
WTRSH PLAINS,South Asia,India,IBRD,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IBRD,IPF,1990.0,1999.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
PUNJAB IRR & DRAINAG,South Asia,India,IBRD,,Other,Sustainable Development,Water,IBRD,IPF,1990.0,1999.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2000
POPULATION IV,Eastern and Southern Africa,Kenya,Blend,,Other,Human Development,"Health, Nutrition & Population",IDA,IPF,1990.0,1998.0,PPAR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2000
COFFEE II,Eastern and Southern Africa,Kenya,Blend,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1990.0,1998.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2000
HEALTH SECTOR INVEST,"Middle East, North Africa, Afghanistan, and Pakist",Morocco,IBRD,,Other,Human Development,"Health, Nutrition & Population",IBRD,IPF,1990.0,1999.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2000
OYO STATE URBAN (IDF),Western and Central Africa,Nigeria,Blend,,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,1990.0,1999.0,ICRR,Unsatisfactory,Satisfactory,Unsatisfactory,Satisfactory,,2000
CLOSED(T) BHAIRAWA LUMBINI III,South Asia,Nepal,IDA,,Other,Sustainable Development,Water,IDA,IPF,1990.0,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
TRANSPORT SECT PROJE,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,,Other,Infrastructure,Transport,IBRD,IPF,1990.0,1998.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
SINDH PRIMARY EDUCATION,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,,Other,Human Development,Education,IDA,IPF,1990.0,1999.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
COCONUT FARMS DEVT.,East Asia and Pacific,Philippines,IBRD,,Other,Sustainable Development,Agriculture and Food,IBRD,IPF,1990.0,2000.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
STRUC ADJ LOAN,East Asia and Pacific,Papua New Guinea,Blend,,Other,Other,Other,IBRD,DPF,1990.0,,PPAR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2000
Industrial Export Development Project,Europe and Central Asia,Poland,IBRD,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,1990.0,2000.0,ICRR,Unsatisfactory,Satisfactory,Unsatisfactory,Satisfactory,,2000
EDUC REHAB,Eastern and Southern Africa,Somalia,IDA,,Other,Other,Other,IDA,IPF,1990.0,,ICRR,,,,,,2000
DEVELOPMENT BANK II,East Asia and Pacific,Tonga,IDA,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,1990.0,1996.0,ICRR,Unsatisfactory,Satisfactory,Highly Unsatisfactory,Unsatisfactory,,2000
ANKARA SEWERAGE,Europe and Central Asia,Turkiye,IBRD,,Other,Sustainable Development,Water,IBRD,IPF,1990.0,1999.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
ROADS I,Eastern and Southern Africa,Tanzania,IDA,,Other,Infrastructure,Transport,IDA,IPF,1990.0,1999.0,ICRR,Highly Unsatisfactory,Highly Unsatisfactory,Highly Unsatisfactory,Highly Unsatisfactory,,2000
HEALTH & NUTRITION,Eastern and Southern Africa,Tanzania,IDA,,Other,Human Development,"Health, Nutrition & Population",IDA,IPF,1990.0,1999.0,ICRR,Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2000
POWER MODERNIZATION,Latin America and Caribbean,Uruguay,IBRD,,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1990.0,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
RY-TAIZ FLOOD DISASTER,"Middle East, North Africa, Afghanistan, and Pakist","Yemen, Republic of",IDA,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1990.0,1999.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
RY-TARIM WATER SUPPLY,"Middle East, North Africa, Afghanistan, and Pakist","Yemen, Republic of",IDA,,Other,Sustainable Development,Water,IDA,IPF,1990.0,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
HEALTH SECTOR DVLPMT,"Middle East, North Africa, Afghanistan, and Pakist","Yemen, Republic of",IDA,,Other,Human Development,"Health, Nutrition & Population",IDA,IPF,1990.0,1999.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2000
POWER DIST. (16 TOWN,South Asia,Bangladesh,IDA,,Other,Infrastructure,Energy & Extractives,IDA,IPF,1989.0,1998.0,ICRR,Unsatisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2000
SHAANXI PROV. AGRICU,East Asia and Pacific,China,IBRD,,Other,Other,Other,IDA,IPF,1989.0,,PPAR,Unsatisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2000
WATER SECTOR REHAB,Western and Central Africa,Ghana,IDA,,Other,Sustainable Development,Water,IDA,IPF,1989.0,1998.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2000
WATER II,Western and Central Africa,Guinea,IDA,,Other,Sustainable Development,Water,IDA,IPF,1989.0,1998.0,PPAR,Satisfactory,Highly Satisfactory,Satisfactory,Highly Satisfactory,,2000
GT/BASIC EDUCATION,Latin America and Caribbean,Guatemala,IBRD,,Other,Human Development,Education,IBRD,IPF,1989.0,1999.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
P AU PRINCE WTR,Latin America and Caribbean,Haiti,IDA,,Other,Sustainable Development,Water,IDA,IPF,1989.0,1999.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2000
POWER V,Latin America and Caribbean,Haiti,IDA,,Other,Infrastructure,Energy & Extractives,IDA,IPF,1989.0,1999.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2000
MAHARASHTRA POWER,South Asia,India,IBRD,,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1989.0,1999.0,ICRR,Unsatisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2000
VOCATIONAL TRAINING,South Asia,India,IBRD,,Other,Human Development,Education,IBRD,IPF,1989.0,1999.0,PPAR,Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2000
ELECTRONICS,South Asia,India,IBRD,,Other,Other,Other,IBRD,IPF,1989.0,,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
POWER II,Western and Central Africa,Mali,IDA,,Other,Infrastructure,Energy & Extractives,IDA,IPF,1989.0,1998.0,PPAR,Unsatisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
Istria & Slovene Coast Water Supply & Sewerage Project,Europe and Central Asia,Slovenia,Other,,Other,Sustainable Development,Water,OTHER,IPF,1989.0,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
HEALTH,Europe and Central Asia,Turkiye,IBRD,,Other,Human Development,"Health, Nutrition & Population",IBRD,IPF,1989.0,1999.0,ICRR,Moderately Satisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2000
RY-AL MUKALLA WATER SUPPLY,"Middle East, North Africa, Afghanistan, and Pakist","Yemen, Republic of",IDA,,Other,Sustainable Development,Water,IDA,IPF,1989.0,1999.0,ICRR,Moderately Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,,2000
MUNIC DEVT I,Latin America and Caribbean,Argentina,IBRD,,Other,Other,Other,IBRD,IPF,1988.0,,PPAR,Moderately Satisfactory,Unsatisfactory,Unsatisfactory,Satisfactory,,2000
RURAL ROADS & MARKET,South Asia,Bangladesh,IDA,,Other,Other,Other,IDA,IPF,1988.0,,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
NORTHERN IRRIGATION,East Asia and Pacific,China,IBRD,,Other,Other,Other,IDA,IPF,1988.0,,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
POPULATION III,Eastern and Southern Africa,Kenya,Blend,,Other,Other,Other,IDA,IPF,1988.0,,PPAR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2000
ISTANBUL WATER SUPPL,Europe and Central Asia,Turkiye,IBRD,,Other,Other,Other,IBRD,IPF,1988.0,,PPAR,Satisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2000
WTR SUPPLY RHB,Latin America and Caribbean,Uruguay,IBRD,,Other,Sustainable Development,Water,IBRD,IPF,1988.0,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
ROAD REHAB. & MAINTE,South Asia,Bangladesh,IDA,,Other,Other,Other,IDA,IPF,1987.0,,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
NRDP CEARA,Latin America and Caribbean,Brazil,IBRD,,Other,Other,Other,IBRD,IPF,1987.0,,PPAR,Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,,2000
NRDP PARAIBA,Latin America and Caribbean,Brazil,IBRD,,Other,Other,Other,IBRD,IPF,1987.0,,PPAR,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,,2000
WATER SUP. II,Eastern and Southern Africa,Rwanda,IDA,,Other,Sustainable Development,Water,IDA,IPF,1987.0,1999.0,ICRR,Unsatisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,,2000
IZMIR WATER SUPPLY,Europe and Central Asia,Turkiye,IBRD,,Other,Other,Other,IBRD,IPF,1987.0,,PPAR,Highly Unsatisfactory,Highly Unsatisfactory,Satisfactory,Unsatisfactory,,2000
HEALTH II,East Asia and Pacific,China,IBRD,,Other,Human Development,"Health, Nutrition & Population",IBRD,IPF,1986.0,1996.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2000
EDUCATION III,Western and Central Africa,Burkina Faso,IDA,,Other,Other,Other,IDA,IPF,1985.0,,PPAR,Moderately Unsatisfactory,Unsatisfactory,Highly Unsatisfactory,Highly Unsatisfactory,,2000
FORESTRY III,Eastern and Southern Africa,Kenya,Blend,,Other,Other,Other,IBRD,IPF,1982.0,,PPAR,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2000
ECON.REFORM SUPP. OP,Western and Central Africa,Ghana,IDA,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,1998.0,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
BANKING SECTOR REF,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,1998.0,1998.0,ICRR,Highly Satisfactory,Highly Satisfactory,Satisfactory,Satisfactory,,1999
CONTRACTUAL SAVINGS,Latin America and Caribbean,Uruguay,IBRD,,Other,Human Development,Social Protection & Jobs,IBRD,DPF,1998.0,1998.0,ICRR,Highly Satisfactory,Highly Satisfactory,,Highly Satisfactory,,1999
PROV.PENSION1,Latin America and Caribbean,Argentina,IBRD,,Other,"Equitable Growth, Finance and Institutions",Governance,IBRD,DPF,1997.0,1998.0,ICRR,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,,1999
EMG HOUSING REPAIR,Europe and Central Asia,Bosnia and Herzegovina,IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1997.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
Enterprise & Financial Sector Adjustment Loan (EFSAL),Europe and Central Asia,Hungary,Other,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,1997.0,1999.0,ICRR,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,,1999
DDSR,Latin America and Caribbean,Peru,IBRD,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,1997.0,1997.0,ICRR,Highly Satisfactory,Highly Satisfactory,,Highly Satisfactory,,1999
ENT RES SERVS,Europe and Central Asia,Russian Federation,IBRD,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,1997.0,2003.0,ICRR,Highly Unsatisfactory,Unsatisfactory,,Unsatisfactory,,1999
EMERG.REINT&RECOV CR,Eastern and Southern Africa,Rwanda,IDA,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,1997.0,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
Agriculture Recovery & Social Protection Project,Europe and Central Asia,Tajikistan,IDA,,Other,Infrastructure,"Urban, Resilience and Land",IDA,DPF,1997.0,1998.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,1999
EMG FARM RECONSTR,Europe and Central Asia,Bosnia and Herzegovina,IBRD,,Other,Sustainable Development,Agriculture and Food,SPF,IPF,1996.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
EMG ED REC,Europe and Central Asia,Bosnia and Herzegovina,IBRD,,Other,Human Development,Education,IDA,IPF,1996.0,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
HYDROC.SEC.REF&CAPIT,Latin America and Caribbean,Bolivia,IBRD,,Other,Infrastructure,Energy & Extractives,IDA,IPF,1996.0,1999.0,ICRR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
HENAN (QINB.)THERMAL,East Asia and Pacific,China,IBRD,,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1996.0,2003.0,ICRR,,Satisfactory,,Satisfactory,,1999
SAL I,"Middle East, North Africa, Afghanistan, and Pakist",Algeria,IBRD,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,1996.0,1998.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
GENERTN RCOVRY&IMPRV,Latin America and Caribbean,Jamaica,IBRD,,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1996.0,1998.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
ECONOMIC REHAB. CR.,East Asia and Pacific,Cambodia,IDA,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,1996.0,1997.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
EMERG. DROUGHT RECOV,"Middle East, North Africa, Afghanistan, and Pakist",Morocco,IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,1996.0,1998.0,ICRR,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,,1999
FIN.MARKETS DEV.,"Middle East, North Africa, Afghanistan, and Pakist",Morocco,IBRD,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,1996.0,1998.0,ICRR,Moderately Unsatisfactory,Satisfactory,Unsatisfactory,Unsatisfactory,,1999
NI/FISE II,Latin America and Caribbean,Nicaragua,IDA,,Other,Human Development,Social Protection & Jobs,IDA,IPF,1996.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
Ozone Depleting Substances (ODS) Phaseout Project,Europe and Central Asia,Slovenia,Other,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",GEF,IPF,1996.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
EC.REC.CR.(ERC),"Middle East, North Africa, Afghanistan, and Pakist","Yemen, Republic of",IDA,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,1996.0,1998.0,ICRR,Highly Satisfactory,Highly Satisfactory,Satisfactory,Highly Satisfactory,,1999
POWER LOSS REDUCTION,Europe and Central Asia,Albania,IBRD,,Other,Infrastructure,Energy & Extractives,IDA,IPF,1995.0,1998.0,ICRR,Unsatisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
EFSAC,Europe and Central Asia,Albania,IBRD,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,DPF,1995.0,1998.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
ODS PHASEOUT (GEF),Europe and Central Asia,Czechia,Other,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",GEF,IPF,1995.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
SAL,Latin America and Caribbean,Ecuador,IBRD,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,1995.0,1998.0,ICRR,Unsatisfactory,Unsatisfactory,Satisfactory,Satisfactory,,1999
Agricultural Privatization & Enterprise Adjustment Credit (APEAC),Europe and Central Asia,Kyrgyz Republic,IDA,,Other,Infrastructure,"Urban, Resilience and Land",IDA,DPF,1995.0,1997.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
PRE-EXPORT GUAR. FAC,Europe and Central Asia,Moldova,IBRD,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,1995.0,2004.0,ICRR,Unsatisfactory,Unsatisfactory,Satisfactory,Satisfactory,,1999
FINAN. SEC RESTRUCTU,Latin America and Caribbean,Mexico,IBRD,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,1995.0,1997.0,ICRR,Unsatisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
ESSENTIAL SOCIAL SER,Latin America and Caribbean,Mexico,IBRD,,Other,Human Development,Social Protection & Jobs,IBRD,IPF,1995.0,1998.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
H & T EDUCATION,Eastern and Southern Africa,Mauritius,IBRD,,Other,Human Development,Education,IBRD,IPF,1995.0,1999.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,1999
EMERG. RECOVERY CRED,Eastern and Southern Africa,Rwanda,IDA,,Other,Human Development,Social Protection & Jobs,IDA,IPF,1995.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
AG SECAL,Western and Central Africa,Senegal,IDA,,Other,Sustainable Development,Agriculture and Food,IDA,DPF,1995.0,1998.0,ICRR,Moderately Satisfactory,Satisfactory,Unsatisfactory,Satisfactory,,1999
REHABILITATION,Europe and Central Asia,Ukraine,IBRD,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,1995.0,1996.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
AGRIC DEVT,Europe and Central Asia,Bulgaria,IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,1994.0,1998.0,ICRR,Highly Unsatisfactory,Unsatisfactory,Unsatisfactory,Highly Unsatisfactory,,1999
BELIZE CITY INFRASTR,Latin America and Caribbean,Belize,Blend,,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,1994.0,1998.0,ICRR,Moderately Satisfactory,Satisfactory,Unsatisfactory,Unsatisfactory,,1999
MUNIC DEVT,Latin America and Caribbean,Chile,IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,1994.0,1998.0,ICRR,Satisfactory,Satisfactory,Unsatisfactory,Satisfactory,,1999
NAT'L AGRICULTURAL S,Western and Central Africa,Cote d'Ivoire,Blend,,Other,Sustainable Development,Agriculture and Food,IDA,IPF,1994.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
SAC I,Western and Central Africa,Cameroon,Blend,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,1994.0,1995.0,PPAR,Highly Unsatisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,,1999
ERC,Western and Central Africa,Cameroon,Blend,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,1994.0,1996.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
