project_name,wb_region,country_/_economy,country_/_economy_lending_group,country_/_economy_fcs_status,country_/_economy_fcs_lending_group,practice_group,global_practice,agreement_type,lending_instrument_type,approval_fy,final_closing_fy,evaluation_type,outcome,quality_at_entry,quality_of_supervision,bank_performance,m&e_quality,evaluation_fy,CountryCode,GDP_USD,GDP_per_capita_USD,GDP_growth_pct,Inflation_CPI_pct,Unemployment_pct,Govt_debt_pct_GDP,Current_account_pct_GDP,Population_total
Agricultural Reform Implementation Support Project (ARIS),Europe and Central Asia,Russian Federation,IBRD,non-FCS,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,1994,2001.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,RUS,395077301248.464,2662.10400390625,-12.5697559802151,307.722635553193,8.131,,2.26332668866148,148407912.0
Tunisia Private Investment Credit Project,"Middle East, North Africa, Afghanistan, and Pakist",Tunisia,IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,1994,2001.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,TUN,15633174304.0905,1733.46614673506,3.17841132209441,,16.009,59.0345141585198,-3.43370923202334,9018448.0
Privatization Implementation Technical Assistance Project,Europe and Central Asia,Turkiye,IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,1994,2000.0,PPAR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Not Evaluated,2002,TUR,130650447499.071,2176.2801813809,-4.66814736394838,105.214986469202,8.577,44.0175057105221,2.01377036999334,60033836.0
TRANSPORT REHABILITATION PROJECT,Eastern and Southern Africa,Uganda,IDA,non-FCS,Other,Infrastructure,Transport,IDA,IPF,1994,2001.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,UGA,3990430446.71216,198.441987998795,6.40363574007452,,3.471,,-4.36544383685547,20108801.0
Institution Building Technical Assistance Project,Europe and Central Asia,Uzbekistan,Blend,non-FCS,Other,"Equitable Growth, Finance and Institutions",Governance,IBRD,IPF,1994,2001.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,UZB,12899074922.38,574.229079896619,-5.19999999306704,,7.3,,,22463291.0
AGRIC REHABILITATION,East Asia and Pacific,Viet Nam,IBRD,non-FCS,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1994,1999.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,VNM,16286433533.3228,229.857787265757,8.83898095245374,,1.972,,,70854391.0
PETROLEUM REHAB,Eastern and Southern Africa,Zambia,IDA,non-FCS,Other,Infrastructure,Energy & Extractives,IDA,IPF,1994,2002.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Not Evaluated,2002,ZMB,3656806165.78848,426.386598390102,-8.62544195231277,,18.648,149.209889858483,,8576269.0
MUNICIP DEV (RG SUL),Latin America and Caribbean,Brazil,IBRD,non-FCS,Other,Other,Other,IBRD,IPF,1990,,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,1998,BRA,384959818181.817,2581.14187449078,-4.35000000000022,2947.73277248299,,,-0.993090660229478,149143223.0
YACYRETA II,Latin America and Caribbean,Argentina,IBRD,non-FCS,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1993,2001.0,ICRR,Unsatisfactory,Satisfactory,Unsatisfactory,Unsatisfactory,Not Evaluated,2002,ARG,236741715015.015,6931.85596375876,8.20697907221228,,10.1,,-3.46617829462144,34152717.0
ENERGY I,Europe and Central Asia,Bulgaria,IBRD,non-FCS,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1993,2001.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,BGR,10832064941.654,1278.52511370319,-1.48021486966819,,16.4,,-10.1439569086651,8472313.0
SOC INVEST FUND II,Latin America and Caribbean,Bolivia,IBRD,non-FCS,Other,Human Development,Social Protection & Jobs,IDA,IPF,1993,1999.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,BOL,5734699488.84934,756.637016048451,4.26929611661502,,3.05,,-8.81476005818446,7579195.0
Biodiversity Conservation Project (GEF),Latin America and Caribbean,Bolivia,IBRD,non-FCS,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",GEF,IPF,1993,1999.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,BOL,5734699488.84934,756.637016048451,4.26929611661502,,3.05,,-8.81476005818446,7579195.0
BR NE BASIC EDUC II,Latin America and Caribbean,Brazil,IBRD,non-FCS,Other,Human Development,Education,IBRD,IPF,1993,1999.0,PPAR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,Not Evaluated,2002,BRA,368292034380.96,2348.88247685352,4.9246900037071,1927.38079016026,6.03,,0.0054304731389634,156794577.0
GUANGDONG PROV. TRANSPORT,East Asia and Pacific,China,IBRD,non-FCS,Other,Infrastructure,Transport,IBRD,IPF,1993,2000.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,CHN,446557291212.148,378.939353053314,13.9290780143689,,2.69,,-2.59966643215884,1178440000.0
HENAN PROV. TRANSPORT,East Asia and Pacific,China,IBRD,non-FCS,Other,Infrastructure,Transport,IBRD,IPF,1993,2000.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,CHN,446557291212.148,378.939353053314,13.9290780143689,,2.69,,-2.59966643215884,1178440000.0
AGRIC. SUPPORT SERVI,East Asia and Pacific,China,IBRD,non-FCS,Other,Sustainable Development,Agriculture and Food,IDA,IPF,1993,2001.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,CHN,446557291212.148,378.939353053314,13.9290780143689,,2.69,,-2.59966643215884,1178440000.0
ECON MGMT TA,Western and Central Africa,Cote d'Ivoire,Blend,non-FCS,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,IPF,1993,2001.0,ICRR,Moderately Unsatisfactory,Satisfactory,Unsatisfactory,Satisfactory,Not Evaluated,2002,CIV,11045760288.1206,804.149657211252,-0.192485098607804,,5.866,,,13735951.0
CO-  MUNICIPAL HEALTH SERVICES,Latin America and Caribbean,Colombia,IBRD,non-FCS,Other,Human Development,"Health, Nutrition & Population",IBRD,IPF,1993,2003.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Not Evaluated,2002,COL,66474101301.1759,1930.05976548029,5.38540993901029,22.4424828533275,7.8,,-3.16273549976194,34441473.0
BASIC & SECONDARY EDUCATION SUPPORT PROJECT,"Middle East, North Africa, Afghanistan, and Pakist",Algeria,IBRD,non-FCS,Other,Human Development,Education,IBRD,IPF,1993,2001.0,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,DZA,49945584452.6506,1831.04800976449,-2.10000075697259,,26.23,,,27277048.0
SOCIAL DEVELOPMENT II: HEALTH AND NUTRITION (FASBASE),Latin America and Caribbean,Ecuador,IBRD,non-FCS,Other,Human Development,"Health, Nutrition & Population",IBRD,IPF,1993,2001.0,ICRR,Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Not Evaluated,2002,ECU,18938717358.6793,1697.88884141445,1.97321813678619,44.9550537592163,4.415,,-4.48229932324834,11154274.0
NAT'L ELECTRIFICATION,Western and Central Africa,Ghana,IDA,non-FCS,Other,Infrastructure,Energy & Extractives,IDA,IPF,1993,2000.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,GHA,5968922939.37198,359.800844097528,4.85000055379412,,5.239,,-9.36182299010873,16589519.0
Social Sector Project,Western and Central Africa,Guinea-Bissau,IDA,non-FCS,Other,Human Development,"Health, Nutrition & Population",IDA,IPF,1993,2000.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,GNB,615779518.807114,581.612681813953,2.09999998911347,,3.148,,-10.0651285252334,1058745.0
Health Services & Managemetn Project,Europe and Central Asia,Hungary,Other,non-FCS,Other,Human Development,"Health, Nutrition & Population",IBRD,IPF,1993,2000.0,PPAR,Moderately Unsatisfactory,Unsatisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,HUN,40256233360.3817,3886.66608419616,-0.576108518425613,22.4642346133809,12.098,85.8326049732293,-10.5883858606661,10357523.0
THIRD COMMUNITY HEALTH AND NUTRITION PROJECT,East Asia and Pacific,Indonesia,IBRD,non-FCS,Other,Human Development,"Health, Nutrition & Population",IBRD,IPF,1993,2001.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,IDN,158006700301.533,817.395116417856,6.49640812045304,9.67191089264012,2.782,37.4975968521644,-1.33285487006627,193305168.0
POWERGRID SYSTEM DEVELOPMENT PROJECT,South Asia,India,IBRD,non-FCS,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1993,2001.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,IND,279295648982.529,302.884806246174,4.75077621776924,6.32689048779865,7.75,51.7598082886747,-0.671618869530872,922118387.0
NATIONAL LEPROSY ELIMINATION PROJECT,South Asia,India,IBRD,non-FCS,Other,Human Development,"Health, Nutrition & Population",IDA,IPF,1993,2001.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,IND,279295648982.529,302.884806246174,4.75077621776924,6.32689048779865,7.75,51.7598082886747,-0.671618869530872,922118387.0
POWER SECTOR EFFICIENCY,"Middle East, North Africa, Afghanistan, and Pakist","Iran, Islamic Republic of",IBRD,non-FCS,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1993,2001.0,ICRR,Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Not Evaluated,2002,,,,,,,,,
JM- REFORM OF SECONDARY,Latin America and Caribbean,Jamaica,IBRD,non-FCS,Other,Human Development,Education,IBRD,IPF,1993,2001.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,JAM,5440075675.74067,2220.51518327186,9.41710256708754,,6.236,112.197175107941,-3.38248971095327,2449916.0
PROV'L GRID INTEGRAT,East Asia and Pacific,Lao People's Democratic Republic,IDA,non-FCS,Other,Infrastructure,Energy & Extractives,IDA,IPF,1993,1999.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,,,,,,,,,
LA-EDUCATION DEVELOPMENT,East Asia and Pacific,Lao People's Democratic Republic,IDA,non-FCS,Other,Human Development,Education,IDA,IPF,1993,2001.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,,,,,,,,,
LOCAL GOVERNMENT  EN,Eastern and Southern Africa,Mozambique,IDA,non-FCS,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1993,1999.0,PPAR,Unsatisfactory,Satisfactory,Highly Unsatisfactory,Highly Unsatisfactory,Not Evaluated,2002,MOZ,2883161897.42651,205.189844208699,10.940435029728,,2.899,,,14051192.0
LEG & PUB SEC. CAPAC,Eastern and Southern Africa,Mozambique,IDA,non-FCS,Other,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,1993,2000.0,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,MOZ,2883161897.42651,205.189844208699,10.940435029728,,2.899,,,14051192.0
RURAL REHABILITATION,Eastern and Southern Africa,Mozambique,IDA,non-FCS,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1993,2001.0,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,MOZ,2883161897.42651,205.189844208699,10.940435029728,,2.899,,,14051192.0
TECHNICAL/VOCATIONAL,Western and Central Africa,Mauritania,IDA,non-FCS,Other,Human Development,Social Protection & Jobs,IDA,IPF,1993,2001.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,MRT,1847353211.3475,849.620301696661,5.87363742064267,,9.874,,-9.41968080103244,2174328.0
IRRIG OPER SUPP II,East Asia and Pacific,Philippines,IBRD,non-FCS,Other,Sustainable Development,Water,IBRD,IPF,1993,2001.0,ICRR,Satisfactory,Satisfactory,Not Evaluated,Satisfactory,Not Evaluated,2002,PHL,62036529147.1831,918.642953796961,2.181889985613,,3.863,58.8331979479565,-4.86165174206389,67530621.0
PH-URBAN HEALTH & NUTRITION,East Asia and Pacific,Philippines,IBRD,non-FCS,Other,Human Development,"Health, Nutrition & Population",IDA,IPF,1993,2001.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Not Evaluated,2002,PHL,62036529147.1831,918.642953796961,2.181889985613,,3.863,58.8331979479565,-4.86165174206389,67530621.0
PRIVATIZATION,Europe and Central Asia,Russian Federation,IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,1993,1999.0,ICRR,Moderately Satisfactory,Satisfactory,Unsatisfactory,Satisfactory,Not Evaluated,2002,RUS,435083713850.837,2930.67016601563,-8.66854034260423,874.245720380188,5.883,,,148458777.0
HUMAN RES DEV'T II,Western and Central Africa,Senegal,IDA,non-FCS,Other,Human Development,Education,IDA,IPF,1993,2000.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,SEN,7367986241.21869,877.52900343803,1.36021300651346,,2.881,,-5.87632495790797,8396288.0
BIODIVERSITY/MARINE,Eastern and Southern Africa,Seychelles,IBRD,non-FCS,Other,Infrastructure,Transport,GEF,IPF,1993,1998.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,SYC,504230620.551871,6978.68075445824,7.3033707678707,,,,1.71088181856887,72253.0
ENV/TRANSPORT,Eastern and Southern Africa,Seychelles,IBRD,non-FCS,Other,Infrastructure,Transport,IBRD,IPF,1993,2000.0,PPAR,Moderately Unsatisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,SYC,504230620.551871,6978.68075445824,7.3033707678707,,,,1.71088181856887,72253.0
SECOND TRANSPORT SECTOR PROJECT,Western and Central Africa,Chad,IDA,non-FCS,Other,Infrastructure,Transport,IDA,IPF,1993,2000.0,ICRR,Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,TCD,1463251163.9188,220.729964903293,-15.7098370452078,,0.7,,-7.97127033243566,6629146.0
GEF-ELECTRICITY EGY,East Asia and Pacific,Thailand,IBRD,non-FCS,Other,Infrastructure,Energy & Extractives,GEF,IPF,1993,2000.0,ICRR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,THA,128889262951.157,2245.13688708983,8.25191591524627,,1.49,8.18624353670039,-4.93050710851374,57408198.0
TN-SECOND FORESTRY DEVELOPMENT,"Middle East, North Africa, Afghanistan, and Pakist",Tunisia,IBRD,non-FCS,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IBRD,IPF,1993,2001.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,TUN,14608335608.1543,1649.18537309075,2.18982886145824,,15.954,59.3098274568642,-9.05681266464247,8857910.0
Bursa Water & Sanitation Project,Europe and Central Asia,Turkiye,IBRD,non-FCS,Other,Sustainable Development,Water,IBRD,IPF,1993,2001.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,TUR,180415757851.616,3057.93737480422,7.65126520301509,66.0938429820005,8.962,33.6982232562415,-3.56565306523328,58999167.0
Employment & Training Project,Europe and Central Asia,Turkiye,IBRD,non-FCS,Other,Human Development,Social Protection & Jobs,IBRD,IPF,1993,2001.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,TUR,180415757851.616,3057.93737480422,7.65126520301509,66.0938429820005,8.962,33.6982232562415,-3.56565306523328,58999167.0
PRIV. PUB. SECT. MGT,Eastern and Southern Africa,Tanzania,IDA,non-FCS,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,1993,2001.0,ICRR,Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,Not Evaluated,2002,TZA,6182872707.82523,224.491546630859,1.20580080875436,,3.878,,-14.4722694555188,28332692.0
TELECOM III,Eastern and Southern Africa,Tanzania,IDA,non-FCS,Other,Infrastructure,Transport,IDA,IPF,1993,2001.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,TZA,6182872707.82523,224.491546630859,1.20580080875436,,3.878,,-14.4722694555188,28332692.0
STI,Eastern and Southern Africa,Zimbabwe,Blend,non-FCS,Other,Human Development,"Health, Nutrition & Population",IDA,IPF,1993,2001.0,PPAR,Moderately Satisfactory,Satisfactory,Unsatisfactory,Unsatisfactory,Not Evaluated,2002,ZWE,6563813828.50752,604.386718704653,1.05145864722344,,4.99,,-1.76158596027398,10860288.0
LOBITO/BENG.REHAB.,Eastern and Southern Africa,Angola,IBRD,non-FCS,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1992,2002.0,ICRR,Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,AGO,8307810973.58848,668.706017459877,-5.83828073313141,,16.978,,-8.84439959377916,12423712.0
WATER SUPPLY SECTOR,Eastern and Southern Africa,Burundi,IDA,non-FCS,Other,Sustainable Development,Water,IDA,IPF,1992,2001.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,BDI,1083037670.60484,184.868970456447,1.00999837099629,,3.133,,-5.50382096415844,5858407.0
MGT OF NAT RESOURCES,Western and Central Africa,Benin,IDA,non-FCS,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,1992,1999.0,PPAR,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Not Evaluated,2002,BEN,1695315305.70308,301.77329696287,2.95771082720395,,1.51,,-4.28904687368759,5617844.0
RD MAINT,Latin America and Caribbean,Bolivia,IBRD,non-FCS,Other,Infrastructure,Transport,IDA,IPF,1992,2001.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,BOL,5643868748.68126,759.57113496365,1.64649818317069,,3.031,,-9.45982310670761,7430336.0
SHANGHAI MPT I,East Asia and Pacific,China,IBRD,non-FCS,Other,Infrastructure,Transport,IDA,IPF,1992,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,CHN,428502354788.069,367.822651903542,14.2996108947926,,2.37,,1.49380742683803,1164970000.0
IFI-RESTRC&DIVSTITUR,Latin America and Caribbean,Colombia,IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,1992,1998.0,PPAR,Highly Unsatisfactory,Unsatisfactory,Highly Unsatisfactory,Highly Unsatisfactory,Not Evaluated,2002,COL,58394443377.5416,1729.66397332384,4.04492943933556,27.010626623136,9.44,,1.54244128020305,33760571.0
CR/BASIC EDUCATION,Latin America and Caribbean,Costa Rica,IBRD,non-FCS,Other,Human Development,Education,IBRD,IPF,1992,2001.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,CRI,8579754757.93237,2612.38756453737,9.2011037327736,21.7911687900609,3.93,,-4.31713971378434,3284258.0
ALG-CADASTRE,"Middle East, North Africa, Afghanistan, and Pakist",Algeria,IBRD,non-FCS,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,1992,2001.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,DZA,48003133346.9957,1802.69300801289,1.80000230253509,,24.38,,,26628568.0
ID-TELECOM IV,East Asia and Pacific,Indonesia,IBRD,non-FCS,Other,Infrastructure,Transport,IBRD,IPF,1992,2001.0,ICRR,Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Not Evaluated,2002,IDN,128026966579.964,673.67103954742,6.49750651682714,7.52351006242677,2.734,42.7093574260874,-2.17141753355818,190043744.0
SHRIMP & FISH CULTUR,South Asia,India,IBRD,non-FCS,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1992,2001.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,Not Evaluated,2002,IND,288208070278.013,319.182472626315,5.48239602040357,11.7878170418135,7.733,49.6809013594637,-1.55624498023457,902957070.0
SISTAN FLOOD CTRL,"Middle East, North Africa, Afghanistan, and Pakist","Iran, Islamic Republic of",IBRD,non-FCS,Other,Sustainable Development,Water,IBRD,IPF,1992,2001.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,,,,,,,,,
ECONOMIC REHAB,East Asia and Pacific,Mongolia,IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,IPF,1992,1994.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,MNG,1317611863.84977,607.813424662797,-9.25646570382904,,5.843,20.621673383358,-3.6611692201263,2167790.0
TA PROJECT,East Asia and Pacific,Mongolia,IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,1992,1998.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,MNG,1317611863.84977,607.813424662797,-9.25646570382904,,5.843,20.621673383358,-3.6611692201263,2167790.0
ECON. RECOVERY CR.,Eastern and Southern Africa,Mozambique,IDA,non-FCS,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,1992,1996.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,MOZ,2798696511.18156,205.585216062094,-7.57664724880097,,3.033,,,13613316.0
AGR.SER. REHAB.,Eastern and Southern Africa,Mozambique,IDA,non-FCS,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1992,2000.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Not Evaluated,2002,MOZ,2798696511.18156,205.585216062094,-7.57664724880097,,3.033,,,13613316.0
LOCAL GOVT.,Eastern and Southern Africa,Malawi,IDA,non-FCS,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1992,2001.0,ICRR,Moderately Unsatisfactory,Satisfactory,Unsatisfactory,Unsatisfactory,Not Evaluated,2002,MWI,2618837835.02508,258.393430877557,-7.33297833747964,,5.073,,-10.8791557554642,10135079.0
AG. SERVICES,Western and Central Africa,Niger,IDA,non-FCS,Other,Sustainable Development,Agriculture and Food,IDA,IPF,1992,1998.0,PPAR,Moderately Satisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Not Evaluated,2002,NER,3386232579.22522,384.029657304316,2.00075236142851,,1.566,,-4.70050474164019,8817633.0
Highway Management,East Asia and Pacific,Philippines,IBRD,non-FCS,Other,Infrastructure,Transport,IBRD,IPF,1992,2000.0,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,PHL,60422328242.1803,916.515694532029,0.417629066097945,,3.844,46.269790365795,-1.65501732404596,65926125.0
Third Municipal Development Project,East Asia and Pacific,Philippines,IBRD,non-FCS,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,1992,2001.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,PHL,60422328242.1803,916.515694532029,0.417629066097945,,3.844,46.269790365795,-1.65501732404596,65926125.0
HOUSING PROJECT,Europe and Central Asia,Poland,IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,1992,2000.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,POL,94337050693.2727,2459.02068468253,2.51497861350261,46.0985621037431,13.645,,-3.29032970311139,38363667.0
Land Use Rationalization Project,Latin America and Caribbean,Paraguay,IBRD,non-FCS,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IBRD,IPF,1992,2000.0,ICRR,Unsatisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,Not Evaluated,2002,PRY,7157424031.06045,1682.67444777611,1.69642801124701,,4.98,,-0.800567351484838,4253600.0
HEALTH SERV REHAB,Europe and Central Asia,Romania,IBRD,non-FCS,Other,Human Development,"Health, Nutrition & Population",IBRD,IPF,1992,1999.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,ROU,25121666666.6667,1102.10378473246,-8.7672284522824,,8.26,,-5.99482518410403,22794284.0
RW - FOOD SECURITY,Eastern and Southern Africa,Rwanda,IDA,non-FCS,Other,Human Development,Social Protection & Jobs,IDA,IPF,1992,2001.0,ICRR,Satisfactory,Satisfactory,Unsatisfactory,Satisfactory,Not Evaluated,2002,RWA,2029026961.55894,264.083914517464,5.87272524148186,,12.12,48.4289742567034,,7683266.0
AGRIC SECTOR,Eastern and Southern Africa,Sao Tome and Principe,IDA,non-FCS,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1992,2001.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Not Evaluated,2002,STP,94861780.6228352,740.471318576498,0.699996987364386,,14.662,,,128110.0
HEALTH & EDUCATION,Eastern and Southern Africa,Sao Tome and Principe,IDA,non-FCS,Other,Human Development,"Health, Nutrition & Population",IDA,IPF,1992,2001.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Not Evaluated,2002,STP,94861780.6228352,740.471318576498,0.699996987364386,,14.662,,,128110.0
TA FOR TREASURY DATA,Europe and Central Asia,Turkiye,IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions",Governance,IBRD,IPF,1992,2000.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,TUR,159104772991.851,2743.65320297936,5.03563493896803,70.0761038690373,8.509,34.0172750620102,-0.612175223712419,57990118.0
Agricultural Research Project,Europe and Central Asia,Turkiye,IBRD,non-FCS,Other,Sustainable Development,Agriculture and Food,IBRD,IPF,1992,2001.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,TUR,159104772991.851,2743.65320297936,5.03563493896803,70.0761038690373,8.509,34.0172750620102,-0.612175223712419,57990118.0
ENVIRONMENTAL MGMT,Western and Central Africa,Burkina Faso,IDA,non-FCS,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,1991,1999.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,BFA,3135045584.08387,333.70605512636,9.06998445877436,,2.477,,,9394632.0
BR: INNOV BASIC ED,Latin America and Caribbean,Brazil,IBRD,non-FCS,Other,Human Development,Education,IBRD,IPF,1991,1999.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,BRA,342534090909.091,2257.6092968885,1.03218958549303,432.786661926461,6.894,,-0.423315529310288,151724256.0
